x,y
97.875,32.125
98.125,32.125
98.375,32.125
98.625,32.125
98.875,32.125
99.125,32.125
99.375,32.125
99.625,32.125
99.875,32.125
100.125,32.125
100.375,32.125
100.625,32.125
100.875,32.125
101.125,32.125
101.375,32.125
86.625,31.875
86.875,31.875
87.125,31.875
87.375,31.875
87.625,31.875
87.875,31.875
88.125,31.875
88.375,31.875
88.625,31.875
88.875,31.875
89.125,31.875
89.375,31.875
89.625,31.875
89.875,31.875
90.125,31.875
90.375,31.875
90.625,31.875
90.875,31.875
91.125,31.875
91.375,31.875
91.625,31.875
91.875,31.875
92.125,31.875
92.375,31.875
92.625,31.875
92.875,31.875
93.125,31.875
93.375,31.875
93.625,31.875
93.875,31.875
94.125,31.875
94.375,31.875
94.625,31.875
94.875,31.875
95.125,31.875
95.375,31.875
95.625,31.875
95.875,31.875
96.125,31.875
96.375,31.875
96.625,31.875
96.875,31.875
97.125,31.875
97.375,31.875
97.625,31.875
97.875,31.875
98.125,31.875
98.375,31.875
98.625,31.875
98.875,31.875
99.125,31.875
99.375,31.875
99.625,31.875
99.875,31.875
100.125,31.875
100.375,31.875
100.625,31.875
100.875,31.875
101.125,31.875
101.375,31.875
86.625,31.625
86.875,31.625
87.125,31.625
87.375,31.625
87.625,31.625
87.875,31.625
88.125,31.625
88.375,31.625
88.625,31.625
88.875,31.625
89.125,31.625
89.375,31.625
89.625,31.625
89.875,31.625
90.125,31.625
90.375,31.625
90.625,31.625
90.875,31.625
91.125,31.625
91.375,31.625
91.625,31.625
91.875,31.625
92.125,31.625
92.375,31.625
92.625,31.625
92.875,31.625
93.125,31.625
93.375,31.625
93.625,31.625
93.875,31.625
94.125,31.625
94.375,31.625
94.625,31.625
94.875,31.625
95.125,31.625
95.375,31.625
95.625,31.625
95.875,31.625
96.125,31.625
96.375,31.625
96.625,31.625
96.875,31.625
97.125,31.625
97.375,31.625
97.625,31.625
97.875,31.625
98.125,31.625
98.375,31.625
98.625,31.625
98.875,31.625
99.125,31.625
99.375,31.625
99.625,31.625
99.875,31.625
100.125,31.625
100.375,31.625
100.625,31.625
100.875,31.625
101.125,31.625
101.375,31.625
86.625,31.375
86.875,31.375
87.125,31.375
87.375,31.375
87.625,31.375
87.875,31.375
88.125,31.375
88.375,31.375
88.625,31.375
88.875,31.375
89.125,31.375
89.375,31.375
89.625,31.375
89.875,31.375
90.125,31.375
90.375,31.375
90.625,31.375
90.875,31.375
91.125,31.375
91.375,31.375
91.625,31.375
91.875,31.375
92.125,31.375
92.375,31.375
92.625,31.375
92.875,31.375
93.125,31.375
93.375,31.375
93.625,31.375
93.875,31.375
94.125,31.375
94.375,31.375
94.625,31.375
94.875,31.375
95.125,31.375
95.375,31.375
95.625,31.375
95.875,31.375
96.125,31.375
96.375,31.375
96.625,31.375
96.875,31.375
97.125,31.375
97.375,31.375
97.625,31.375
97.875,31.375
98.125,31.375
98.375,31.375
98.625,31.375
98.875,31.375
99.125,31.375
99.375,31.375
99.625,31.375
99.875,31.375
100.125,31.375
100.375,31.375
100.625,31.375
100.875,31.375
101.125,31.375
101.375,31.375
86.625,31.125
86.875,31.125
87.125,31.125
87.375,31.125
87.625,31.125
87.875,31.125
88.125,31.125
88.375,31.125
88.625,31.125
88.875,31.125
89.125,31.125
89.375,31.125
89.625,31.125
89.875,31.125
90.125,31.125
90.375,31.125
90.625,31.125
90.875,31.125
91.125,31.125
91.375,31.125
