routeid,region,variable,long,lat,height,varep
20,BS,long8,56.7753608157483,46.9994566933986,5855.00356988796,-1370.13557739523
1,AS,long9,109.733699030931,28.8046827723882,3127.36739365078,3158.0774355348
2,CS,long9,62.7658487984262,35.1103509272791,3594.6759903589,3027.45960063597
3,ATO,long9,-47.5500939229224,32.2777857367464,7682.16823582719,-3778.83485999582
4,AS,long9,96.0783383264058,42.7824674054936,2642.32027942521,1537.28723643641
5,ATO,long9,-24.0823458370121,32.7116838908167,7459.58208359818,-2696.81030948902
6,NAF,long9,22.5718542887393,34.323633905592,6456.41024508725,-849.771743540944
7,EU,long9,40.6666121659229,53.0290677159771,6450.57209228966,-1604.77883171291
8,NA,long9,-26.8979193805139,46.0363833814852,7602.65873058766,-3506.18437368058
9,AS,long9,-112.084558072115,38.8149579176208,9380.27178685115,-204.995570486384
10,NAF,long9,8.70913962395352,25.6448582795213,5504.89004991129,-528.325281452607
11,MS,long9,41.5813034392581,33.7876925717472,5343.93309760501,-780.119881641597
12,NA,long9,-70.1372665346629,40.308482791739,7880.15106676631,-2281.0973081356
13,IO,long9,71.9502869297951,21.0492804420185,3104.79631981543,3790.20940757802
14,AS,long9,78.829294126722,43.6818375252853,2995.48406098786,1910.7015251343
15,ATO,long9,-3.44306260007703,35.9294799699107,7609.28367103556,-1530.97004861411
16,NA,long9,-101.661974146193,34.7408435760973,7623.84673988896,-1011.41525789166
17,ATO,long9,10.9082280142318,46.849872291814,7355.62009496037,-1776.14432413175
18,AS,long9,87.582821144813,25.1876472106333,3063.00755313463,1404.15656890239
19,AS,long9,43.4547114881849,22.3595683506559,4705.50840387717,1252.08876942603
20,BS,long9,60.806138817777,46.7390972657397,5740.07735458036,-505.165170217883
1,AS,long10,109.597694461519,28.771403277197,3122.94280239811,4166.6119152929
2,CS,long10,63.7821811784884,34.9203198220323,3474.1210647946,7495.45093791434
3,ATO,long10,-44.0975262809176,32.6691388935363,7798.36452400461,-4083.40465483538
4,AS,long10,96.7878988952943,42.3977766574022,2556.82455966461,3235.35712291291
5,ATO,long10,-21.2911288382118,32.826830375029,7465.57655049669,-2302.64914031431
6,NAF,long10,25.1825594794266,34.3534875598608,6381.89243216151,155.180110747156
7,EU,long10,43.9340652367442,52.6743472167963,6447.62369034318,-321.499498333681
8,NA,long10,-19.1241398072869,46.066236663947,7651.1689380621,-3271.58835126475
9,AS,long10,-117.304493138359,38.8989505516054,9358.12485904906,-137.163859394456
10,NAF,long10,9.75880865253429,25.6209197675843,5448.88886565065,395.821534087033
11,MS,long10,44.4415529762979,33.9745145407881,5258.85176443314,1465.84946440041
12,NA,long10,-62.6389573156342,40.7777185608063,8008.1496914899,-2669.18396128848
13,IO,long10,72.6930679699756,21.0665581944888,3066.0314549561,9606.77178312965
14,AS,long10,79.6987988288601,43.4820137589984,2902.56705414658,5256.28797507901
15,ATO,long10,0.151243864839643,35.9620141737722,7568.61586454231,-1034.62665255802
16,NA,long10,-96.0807619951121,35.009811404254,7691.74476242832,-1514.34008698939
17,ATO,long10,16.6356837805361,46.7945606358349,7353.71791165237,-1444.33053696509
18,AS,long10,88.0643187000433,25.1998554264876,3027.06503929137,5717.20482295783
19,AS,long10,43.5693480907618,22.4902809148915,4652.88782944088,2628.85080622165
20,BS,long10,64.61099035755,46.363630785404,5581.47278866536,1475.9794536361
1,AS,long11,109.363064426144,28.742775627384,3109.54476758521,-2111.99165090226
2,CS,long11,64.7581818658679,34.7369437933321,3341.66143895065,2635.48781189636
3,ATO,long11,-40.5250754406222,33.0539047613241,7925.62603394826,-4661.44750804098
4,AS,long11,97.4654750688918,42.0087952950604,2465.37205122825,-93.6605532362372
5,ATO,long11,-18.3930023733426,32.9606320078955,7454.02969786543,-1925.91304953955
6,NAF,long11,27.8392898308694,34.4456461184966,6295.38061136898,-206.728218732871
7,EU,long11,46.8005707125073,52.2128374605958,6425.755943895,-395.78488167345
8,NA,long11,-11.4675654202795,45.8872736333301,7679.28416989754,-2523.55999643591
9,AS,long11,-117.583721638627,38.8583466443086,9351.39611511194,-92.6403123186323
10,NAF,long11,10.5154480520782,25.6783293953217,5406.7027016457,357.295753684532
11,MS,long11,47.335627911762,34.1646223846071,5167.4564291296,-238.261432099639
12,NA,long11,-54.9240007341651,41.4282467451895,8130.19536953114,-2062.00994691554
13,IO,long11,73.4458418508352,21.0804265732,3020.9689543643,1758.15231643624
14,AS,long11,80.6694792438492,43.233578416352,2801.88022207675,-117.035527958086
15,ATO,long11,3.88807879573346,35.9845576385274,7534.17421828484,-904.555133614949
16,NA,long11,-90.1993563103851,35.2556698327087,7771.00067217535,-1397.44597437252
17,ATO,long11,22.2455217165477,46.6662514576556,7335.50301720789,-1584.90855547723
18,AS,long11,88.5050041981052,25.2037967324527,3012.45778654204,-1567.43100900738
19,AS,long11,43.7012187954559,22.6686197714786,4600.24378235955,1417.94493051109
20,BS,long11,68.1153761274274,45.8897543618645,5368.98913526629,186.658696571147
1,AS,long12,109.064083325382,28.7306979751494,3101.81215345665,-1675.91116420221
2,CS,long12,65.6499505583021,34.5491486506652,3215.73012394827,99.0803727797736
3,ATO,long12,-36.8392649063208,33.3722303249598,8045.27904154221,-5306.97692683719
4,AS,long12,98.1188388361046,41.6484906530585,2413.99543002997,95.7623782046244
5,ATO,long12,-15.3962578738253,33.0578121647198,7418.92964939133,-2189.27273544165
6,NAF,long12,30.533403185622,34.5520207630891,6196.21874487992,-759.244945760082
7,EU,long12,49.388995020563,51.643862321566,6386.91680017413,-1231.48846438476
8,NA,long12,-4.02703572643695,45.4830396517437,7679.1356312139,-1905.72381606072
9,AS,long12,-114.647518122944,38.833268869886,9323.15858511635,-61.6797405357178
10,NAF,long12,11.1577748067183,25.7788290915025,5357.72949546313,-222.75346441517
11,MS,long12,50.2073158175379,34.3166038731053,5062.76380276755,-412.456676673815
12,NA,long12,-47.113162917191,42.2419167262049,8238.18300139587,-2199.8570421312
13,IO,long12,74.1965739540944,21.1028159637585,2999.9631155143,1290.692065892
