routeid,region,variable,long,lat
13,IO,long21,80.2334109369647,22.4370096736328
14,AS,long21,86.2062946839394,40.6776081187932
15,ATO,long21,43.1623266270657,36.3320623358056
16,NA,long21,-19.0420872225435,39.4371013944537
17,ATO,long21,70.3290918982201,43.6608747480335
18,AS,long21,89.7183428313177,26.1946633402496
19,AS,long21,49.952082125584,26.8509884764525
20,BS,long21,89.0053687189182,41.2432890178824
1,AS,long22,103.579643580108,29.2150672733161
2,CS,long22,72.6959649720791,33.9339891969068
3,ATO,long22,5.09707134484845,32.6255044946227
4,AS,long22,101.063996548876,37.8112200499908
5,ATO,long22,23.301544740959,34.5534986536756
6,NAF,long22,58.600403425879,36.3782495609224
7,EU,long22,71.4562338893249,45.118588001927
8,NA,long22,53.1891618670043,42.4157857611269
9,AS,long22,-25.6011257334354,40.5944967650625
10,NAF,long22,30.2714444054636,29.8659676372319
11,MS,long22,72.4044981937905,34.7157396184326
12,NA,long22,21.7228673105531,39.5114605511017
13,IO,long22,80.7333485330232,22.7439379951561
14,AS,long22,86.7106054570859,40.3906746357917
15,ATO,long22,47.0611642285029,36.5451480928935
16,NA,long22,-12.2258950706518,39.2265111278671
17,ATO,long22,73.2854903242174,42.9787524480507
18,AS,long22,89.7350027101564,26.3884881635848
19,AS,long22,51.329885355948,27.5074336535073
20,BS,long22,90.226673472434,40.8328745813797
1,AS,long23,102.949581568193,29.2864345746323
2,CS,long23,73.3825437250515,33.9260228670065
3,ATO,long23,10.2690643848717,32.6361636693515
4,AS,long23,101.148089555773,37.4510676328503
5,ATO,long23,28.1243925300286,34.8752717276001
6,NAF,long23,61.1435403658822,36.3918583449391
7,EU,long23,73.2753714813832,44.385900953117
8,NA,long23,57.2856172787352,41.9840322471092
9,AS,long23,-16.4334759424085,40.5853261478177
10,NAF,long23,33.329834535117,30.5953489782067
11,MS,long23,74.0428079610231,34.6362013549197
12,NA,long23,27.4553210672903,39.2019985928583
13,IO,long23,81.2176133604358,23.0913999995027
